window_idx,start,end,n_days,spd_strategy,spd_uniform,pct_strategy,pct_uniform
171,2016-06-20 00:00:00+00:00,2017-06-19 00:00:00+00:00,365,117686.70099195582,118146.25352710528,53.83986842531665,54.13419342197494
172,2016-06-21 00:00:00+00:00,2017-06-20 00:00:00+00:00,365,117393.79498053128,117867.28915056316,53.65227385398937,53.95552790951762
173,2016-06-22 00:00:00+00:00,2017-06-21 00:00:00+00:00,365,117071.9769508033,117561.93966022102,53.44616229267798,53.75996378822443
174,2016-06-23 00:00:00+00:00,2017-06-22 00:00:00+00:00,365,116692.14012939343,117203.32785171758,53.20289201857145,53.530287284960046
175,2016-06-24 00:00:00+00:00,2017-06-23 00:00:00+00:00,365,116340.19529160098,116868.84698524252,52.97748544307843,53.316065683776806
176,2016-06-25 00:00:00+00:00,2017-06-24 00:00:00+00:00,365,116020.48066220849,116563.24564652206,52.77272102545434,53.120340263682195
177,2016-06-26 00:00:00+00:00,2017-06-25 00:00:00+00:00,365,115706.73370845595,116263.33081602695,52.57177866511085,52.92825682439807
178,2016-06-27 00:00:00+00:00,2017-06-26 00:00:00+00:00,365,115369.2453449268,115941.6680437857,52.35563088249524,52.72224469928985
179,2016-06-28 00:00:00+00:00,2017-06-27 00:00:00+00:00,365,115043.60242435426,115629.89715933573,52.147069631760026,52.52256793220587
180,2016-06-29 00:00:00+00:00,2017-06-28 00:00:00+00:00,365,114714.99820581313,115313.4935362377,51.93661178825673,52.31992408152899
181,2016-06-30 00:00:00+00:00,2017-06-29 00:00:00+00:00,365,114380.13680199043,114992.30810734045,51.72214646814037,52.11421767571811
182,2016-07-01 00:00:00+00:00,2017-06-30 00:00:00+00:00,365,114073.88600923208,114697.69416664628,51.52600509874093,51.92552924408515
183,2016-07-02 00:00:00+00:00,2017-07-01 00:00:00+00:00,365,113771.54739149165,114406.88402507994,51.332369320783165,51.739276993476025
184,2016-07-03 00:00:00+00:00,2017-07-02 00:00:00+00:00,365,113479.806470938,114125.78821560426,51.145520943504344,51.559246383574845
185,2016-07-04 00:00:00+00:00,2017-07-03 00:00:00+00:00,365,113161.79494037022,113819.6350148012,50.941847292479395,51.36316751791483
186,2016-07-05 00:00:00+00:00,2017-07-04 00:00:00+00:00,365,112853.05788519888,113522.02518409141,50.74411357156314,51.172560338692875
187,2016-07-06 00:00:00+00:00,2017-07-05 00:00:00+00:00,365,112537.17545177456,113217.03506085159,50.54180352200201,50.977226377638374
188,2016-07-07 00:00:00+00:00,2017-07-06 00:00:00+00:00,365,112227.54314170057,112917.98249241864,50.34349642616978,50.78569518267706
189,2016-07-08 00:00:00+00:00,2017-07-07 00:00:00+00:00,365,111898.5069246951,112599.71020578736,50.13276190494883,50.58185452783503
190,2016-07-09 00:00:00+00:00,2017-07-08 00:00:00+00:00,365,111585.00978107167,112295.04657895623,49.93197953798973,50.386729674656216
191,2016-07-10 00:00:00+00:00,2017-07-09 00:00:00+00:00,365,111265.01214557647,111984.12486275545,49.72703386628943,50.187596765832154
192,2016-07-11 00:00:00+00:00,2017-07-10 00:00:00+00:00,365,110952.87891351219,111680.72605743792,49.527125030068156,49.99328198018491
193,2016-07-12 00:00:00+00:00,2017-07-11 00:00:00+00:00,365,110641.32232752861,111377.54046995408,49.32758551257063,49.799103752022155
194,2016-07-13 00:00:00+00:00,2017-07-12 00:00:00+00:00,365,110340.26412379503,111084.00266231247,49.13476978851195,49.611104540517196
195,2016-07-14 00:00:00+00:00,2017-07-13 00:00:00+00:00,365,110035.35847694936,110784.73748209572,48.93948993120519,49.41943717622206
196,2016-07-15 00:00:00+00:00,2017-07-14 00:00:00+00:00,365,109737.8445288068,110493.895927128,48.74894416092806,49.23316480658727
197,2016-07-16 00:00:00+00:00,2017-07-15 00:00:00+00:00,365,109459.2985402343,110220.69378678616,48.57054660921155,49.05818977567593
198,2016-07-17 00:00:00+00:00,2017-07-16 00:00:00+00:00,365,109185.42694126898,109952.26048123695,48.395142816859355,48.88626899248832
199,2016-07-18 00:00:00+00:00,2017-07-17 00:00:00+00:00,365,108905.93523490506,109673.65215476937,48.21613957076731,48.70783151584624
200,2016-07-19 00:00:00+00:00,2017-07-18 00:00:00+00:00,365,108614.14407306,109386.76215661396,48.02925901595318,48.52408996011544
201,2016-07-20 00:00:00+00:00,2017-07-19 00:00:00+00:00,365,108325.46400845266,109102.05692846837,47.84437099434051,48.34174766209004
202,2016-07-21 00:00:00+00:00,2017-07-20 00:00:00+00:00,365,108007.49268215614,108788.51066653195,47.640723092541364,48.140933836818355
203,2016-07-22 00:00:00+00:00,2017-07-21 00:00:00+00:00,365,107696.6609608051,108480.42584863982,47.44164782181484,47.94361784776155
204,2016-07-23 00:00:00+00:00,2017-07-22 00:00:00+00:00,365,107369.53906546549,108156.11276535894,47.23213934696468,47.73590830456026
205,2016-07-24 00:00:00+00:00,2017-07-23 00:00:00+00:00,365,107050.85791978808,107838.85605000216,47.02803683427577,47.53271808245249
206,2016-07-25 00:00:00+00:00,2017-07-24 00:00:00+00:00,365,106734.05749389324,107524.06078085539,46.82513884729692,47.331104318077244
207,2016-07-26 00:00:00+00:00,2017-07-25 00:00:00+00:00,365,106422.40916173991,107212.93356065865,46.625540570051506,47.13183979217286
208,2016-07-27 00:00:00+00:00,2017-07-26 00:00:00+00:00,365,106111.71225237922,106903.0351122473,46.426551641006455,46.93336224539266
209,2016-07-28 00:00:00+00:00,2017-07-27 00:00:00+00:00,365,105797.5464511153,106588.36733496479,46.225341025604045,46.73183013445124
210,2016-07-29 00:00:00+00:00,2017-07-28 00:00:00+00:00,365,105477.76892551128,106268.91453208393,46.020536325475064,46.527233406223395
